SECTION 1 – GENERAL|1
SECTION 2 – POLES/HARDWARE|2
SECTION 3 – GUYING|3
SECTION 4 – STORM HARDENING|4
SECTION 5 – CONNECTORS|5
SECTION 6 – PRIMARY CONDUCTORS|6
SECTION 7 – CLEARANCES|7
SECTION 8 – COASTLINE CONSTRUCTION|8
SECTION 9 – PRIMARY|9
SECTION 10 – SECONDARY|10
SECTION 11 – SERVICES|11
SECTION 12 – PROTECTION|12
SECTION 13 – GROUNDING|13
SECTION 14 – TRANSFORMERS|14
SECTION 15 – CAPACITORS / REGULATORS / PRIMARY METERING|15
SECTION 16 – AERIAL / SPACER CABLE|16
SECTION 17 – JOINT USE|17
SECTION 18 – RISERS|18
SECTION 19 – LIGHTING|19
SECTION 20 – 25-35 KV DISTRIBUTION PRIMARY|20
SECTION 21 – DISTRIBUTION SUPPLY|21
SECTION 22 – MATERIALS CATALOG|22
SECTION 22 – MATERIALS CATALOG (CONTINUED)|22
SECTION 23 – MATERIALS CATALOG – LIGHTING|23
SECTION 25 –FEEDER APPLICATION & APPLICATION INDEX|25
GENERAL INDEX|1-i
1.0 COPYRIGHT NOTICE|1-1
1.1 STANDARDS ARE PROPERTY OF NATIONAL GRID|1-1
1.2 BIL RATINGS|1-1
1.3 TRANSMISSION VOLTAGES|1-2
1.4 SUB-TRANSMISSION VOLTAGES|1-2
1.5 PRIMARY DISTRIBUTION VOLTAGES|1-3
